route_id,from_code,to_code,distance_km,drive_hours_low,drive_hours_high,road_class,bus_allowed,armored_allowed,armored_months,notes
RT-KBL-MAZ,KBL,MAZ,425,8.0,10.0,highway/mountain,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Primary north corridor via Salang; heavy truck traffic + checkpoints can add time.
RT-MAZ-KBL,MAZ,KBL,425,8.0,10.0,highway/mountain,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg via Salang.
RT-KBL-JBD,KBL,JBD,150,3.5,5.0,highway/gorge,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Kabul River Gorge route; incidents/convoys can delay.
RT-JBD-KBL,JBD,KBL,150,3.5,5.0,highway/gorge,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg.
RT-KBL-GHZ,KBL,GHZ,150,3.0,4.5,highway,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Ring Road south segment.
RT-GHZ-KBL,GHZ,KBL,150,3.0,4.5,highway,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg.
RT-KBL-KDR,KBL,KDR,485,8.0,11.0,highway,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Major southern hub; this is your shared taxi/van corridor.
RT-KDR-KBL,KDR,KBL,485,8.0,11.0,highway,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg.
RT-KDR-HER,KDR,HER,650,10.0,14.0,highway/desert,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Ring Road westbound via Farah; long-distance corridor.
RT-HER-KDR,HER,KDR,650,10.0,14.0,highway/desert,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg.
RT-KBL-HER,KBL,HER,820,14.0,18.0,highway/desert,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Long ring-road route; central mountains route is shorter but far slower (often multi-day).
RT-HER-KBL,HER,KBL,820,14.0,18.0,highway/desert,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg.
RT-KBL-BMY,KBL,BMY,180,4.0,6.5,mountain,0,1,"MAY,JUN,JUL,AUG,SEP,OCT",4x4 recommended in winter/shoulder seasons; armored allowed May–Oct per your rule.
RT-BMY-KBL,BMY,KBL,180,4.0,6.5,mountain,0,1,"MAY,JUN,JUL,AUG,SEP,OCT",Return leg.
RT-BMY-GHZ,BMY,GHZ,330,7.0,11.0,mountain,0,1,"MAY,JUN,JUL,AUG,SEP,OCT",Via Wardak; conditions vary; plan buffer time.
RT-GHZ-BMY,GHZ,BMY,330,7.0,11.0,mountain,0,1,"MAY,JUN,JUL,AUG,SEP,OCT",Return leg.
RT-KBL-FAI,KBL,FAI,560,12.0,16.0,mountain,0,0,,Rugged mountainous access; typically not a bus/armored corridor in this model.
RT-FAI-KBL,FAI,KBL,560,12.0,16.0,mountain,0,0,,Return leg.
RT-MAZ-FAI,MAZ,FAI,520,11.0,16.0,mountain,0,0,,Common approach is via Kunduz/Takhar; route quality varies significantly.
RT-FAI-MAZ,FAI,MAZ,520,11.0,16.0,mountain,0,0,,Return leg.
RT-MAZ-JBD,MAZ,JBD,575,12.0,16.0,via_kabul,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Operationally treated as MAZ→KBL + KBL→JBD; distance/time are combined estimates.
RT-JBD-MAZ,JBD,MAZ,575,12.0,16.0,via_kabul,1,1,"JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC",Return leg via Kabul.
